,Ticker,CIK
398,TGNA,0000039899
399,ZBH,0001136869
400,O,0000726728
401,QRVO,0001604778
402,AAP,0001158449
403,KHC,0001637459
404,PYPL,0001633917
405,JBHT,0000728535
406,FOX,0001754301
407,SIG,0000832988
408,UAL,0000100517
409,NWS,0001564708
410,VRSK,0001442145
411,HPE,0001645590
412,CHD,0000313927
413,ILMN,0001110803
414,SYF,0001601712
415,AWK,0001410636
416,EXR,0001289490
417,CNC,0001071739
418,CFG,0000759944
419,HOLX,0000859737
420,UDR,0000074208
421,FRT,0000034903
422,SPGI,0000064040
423,DLR,0001297996
424,ALK,0000766421
425,GPN,0001123360
426,ULTA,0001403568
427,FL,0000850209
428,AJG,0000354190
429,AYI,0001144215
430,TDG,0001260221
431,LKQ,0001065696
432,LNT,0000352541
433,ALB,0000915913
434,CHTR,0001091667
435,MTD,0001037646
436,FTV,0001659166
437,COO,0000711404
438,UAA,0001336917
439,COTY,0001024305
440,MAA,0000912595
441,SNPS,0000883241
442,ARE,0001035443
443,IDXX,0000874716
444,CBOE,0001374310
445,RJF,0000720005
446,AMD,0000002488
447,INCY,0000879169
448,REG,0000910606
449,IT,0000749251
450,DXC,0001688568
451,HLT,0001585689
452,ANSS,0001013462
453,ALGN,0001097149
454,BHF,0001685040
455,APTV,0001521332
456,MGM,0000789570
457,AOS,0000091142
458,RMD,0000943819
459,NCLH,0001513761
460,IQV,0001478242
461,CDNS,0000813672
462,PKG,0000075677
463,TPR,0001116132
464,SBAC,0001034054
465,HII,0001501585
466,LW,0001679273
467,JEF,0000096223
468,CPRT,0000900075
469,LIN,0001707925
470,JKHY,0000779152
471,BKNG,0001075531
472,KEYS,0001601046
473,CE,0001306830
474,TTWO,0000946581
475,ROL,0000084839
476,FTNT,0001262039
477,MSCI,0001408198
478,ANET,0001596532
479,EVRG,0001711269
480,FANG,0001539838
481,IPGP,0001111928
482,CBRE,0001138118
483,BR,0001383312
484,NKTR,0000906709
485,GL,0000320335
486,WAB,0000943452
487,ATO,0000731802
488,LHX,0000202058
489,TFX,0000096943
490,TMUS,0001283699
491,NVR,0000906163
492,CDW,0001402057
493,AMCR,0001748790
494,CPRI,0001530721
495,IEX,0000832101
496,MKTX,0001278021
497,CTVA,0001755672
498,LDOS,0001336920
499,J,0000052988
500,TFC,0000092230
501,BKR,0001701605
502,LYV,0001335258
503,LVS,0001300514
504,ZBRA,0000877212
505,ODFL,0000878927
506,STE,0001757898
507,WRB,0000011544
508,NOW,0001373715
509,TT,0001466258
510,PAYC,0001590955
511,OTIS,0001781335
512,TYL,0000860731
513,DXCM,0001093557
514,HWM,0000004281
515,TDY,0001094285
516,RTX,0000101829
517,BIO,0000012208
518,DPZ,0001286681
519,CARR,0001783180
520,WST,0000105770
521,TER,0000097210
522,CTLT,0001596783
523,ETSY,0001370637
524,LUMN,0000018926
525,POOL,0000945841
526,TSLA,0001318605
527,VNT,0001786842
528,VTRS,0001792044
529,CZR,0001590895
530,MPWR,0001280452
531,NXPI,0001413447
532,TRMB,0000864749
533,GNRC,0001474735
534,ENPH,0001463101
535,PENN,0000921738
536,PTC,0000857005
537,OGN,0001821825
538,CRL,0001100682
539,MTCH,0000891103
540,TECH,0000842023
541,MRNA,0001682852
542,BBWI,0000701985
543,BRO,0000079282
544,FDS,0001013237
545,EPAM,0001352010
546,SEDG,0001419612
547,CTRA,0000858470
548,PARA,0000813828
549,WTW,0001140536
550,CEG,0001868275
551,MOH,0001179929
552,NDSN,0000072331
553,KDP,0001418135
554,ON,0001097864
555,ELV,0001156039
556,CPT,0000906345
557,WBD,0001437107
558,META,0001326801
559,VICI,0001705696
560,BALL,0000009389
561,INVH,0001687229
562,CSGP,0001057352
563,STLD,0001022671
564,ACGL,0000947484
565,TRGP,0001389170
566,GEN,0000849399
567,GEHC,0001932393
568,PODD,0001145197
569,FICO,0000814547
570,BG,0001996862
571,FI,0000798354
572,AXON,0001069183
573,RVTY,0000031791
574,PANW,0001327567
575,LULU,0001397187
576,COR,0001140859
577,BX,0001393818
578,EG,0001095073
579,HUBB,0000048898
580,KVUE,0001944048
581,BLDR,0001316835
582,UBER,0001543151
583,ABNB,0001559720
584,VLTO,0001967680
